"price","assess","bdrms","lotsize","sqrft","colonial","lprice","lassess","llotsize","lsqrft"
300.0,349.1,4,6126,2438,1,5.703783,5.855359,8.720297,7.798934
370.0,351.5,3,9903,2076,1,5.9135029999999995,5.86221,9.200593,7.638197999999999
191.0,217.7,3,5200,1374,0,5.252274,5.383118,8.556414,7.225482
195.0,231.8,3,4600,1448,1,5.273,5.445875,8.433811,7.277938000000001
373.0,319.1,4,6095,2514,1,5.921578,5.765504,8.715224000000001,7.82963
466.275,414.5,5,8566,2754,1,6.144775,6.027073000000001,9.055556,7.92081
332.5,367.8,3,9000,2067,1,5.80664,5.907539,9.10498,7.633853
315.0,300.2,3,6210,1731,1,5.752573,5.704448999999999,8.733916,7.456455
206.0,236.1,3,6000,1767,0,5.327876,5.4642550000000005,8.699514,7.477038
240.0,256.3,3,2892,1890,0,5.480639,5.546349,7.969703999999999,7.544332000000001
285.0,314.0,4,6000,2336,1,5.652489,5.749393,8.699514,7.756196000000001
300.0,416.5,5,7047,2634,1,5.7037830000000005,6.031887,8.860357,7.876258999999999
405.0,434.0,3,12237,3375,1,6.003887000000001,6.073044,9.412219,8.12415
212.0,279.3,3,6460,1899,0,5.356586,5.632287,8.773385000000001,7.549083
265.0,287.5,3,6519,2312,1,5.5797300000000005,5.661223000000001,8.782475999999999,7.745867999999999
227.4,232.9,4,3597,1760,1,5.426711,5.450609,8.187856,7.473069000000001
240.0,303.8,4,5922,2000,0,5.480639,5.7163699999999995,8.68643,7.600903
285.0,305.6,3,7123,1774,1,5.652489,5.722277,8.871084,7.480992
268.0,266.7,3,5642,1376,1,5.590987,5.586124,8.637994,7.226936
310.0,326.0,4,8602,1835,1,5.736572,5.786897,9.05975,7.5148
266.0,294.3,3,5494,2048,1,5.583496,5.6845989999999995,8.611412,7.624619
270.0,318.8,3,7800,2124,1,5.598422,5.764564,8.961879,7.6610570000000004
225.0,294.2,3,6003,1768,0,5.416101,5.68426,8.700014999999999,7.4776039999999995
150.0,208.0,4,5218,1732,0,5.010635,5.3375379999999994,8.55987,7.457032000000001
247.0,239.7,3,9425,1440,1,5.5093879999999995,5.479388,9.151121,7.272398
275.0,294.1,3,6114,1932,0,5.616771,5.68392,8.718336,7.566311
230.0,267.4,3,6710,1932,0,5.438079,5.5887459999999995,8.811355,7.566311
343.0,359.9,3,8577,2106,1,5.8377300000000005,5.885826,9.05684,7.652546000000001
477.5,478.1,7,8400,3529,1,6.168564,6.16982,9.035986999999999,8.16877
350.0,355.3,4,9773,2051,1,5.857933,5.872962,9.187379,7.626083
230.0,217.8,4,4806,1573,1,5.438079,5.383577,8.47762,7.36074
335.0,385.0,4,15086,2829,0,5.8141300000000005,5.953243,9.621523,7.947678999999999
251.0,224.3,3,5763,1630,1,5.525453,5.412984,8.659213000000001,7.3963350000000005
235.0,251.9,4,6383,1840,1,5.459586,5.529032,8.761394000000001,7.517521
361.0,354.9,4,9000,2066,1,5.888878,5.871836,9.10498,7.633369
190.0,212.5,4,3500,1702,0,5.247024,5.358942,8.160519,7.439559
360.0,452.4,4,10892,2750,1,5.8861040000000004,6.114567,9.295784,7.919356
575.0,518.1,5,15634,3880,1,6.354369999999999,6.250168,9.657204,8.263591
209.00099999999998,289.4,4,6400,1854,1,5.342339,5.66781,8.764053,7.525100999999999
225.0,268.1,2,8880,1421,0,5.416101,5.59136,9.091557,7.259116000000001
246.0,278.5,3,6314,1662,1,5.505332,5.629418,8.750525,7.415777
713.5,655.4,5,28231,3331,1,6.570182000000001,6.485246,10.24818,8.111028
248.0,273.3,4,7050,1656,1,5.513429,5.61057,8.860783,7.412160000000001
230.0,212.1,3,5305,1171,0,5.438079,5.357058,8.576406,7.065613000000001
375.0,354.0,5,6637,2293,1,5.926926,5.869297,8.800415,7.737616
265.0,252.1,3,7834,1764,1,5.5797300000000005,5.529826,8.966228,7.475339
